epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,5153.26,0.39088,0.53784,1.04756,0.95596,0.88991,0.931,0.83928,0.49619,0.56633,0.75264,0.00101237,0.00101237,0.00101237
121,5167.7,0.3987,0.57237,1.05118,0.94014,0.92224,0.94122,0.83353,0.52108,0.52356,0.77496,0.00100687,0.00100687,0.00100687
122,5182.26,0.38381,0.46009,1.04857,0.96774,0.90033,0.94604,0.84346,0.53519,0.57909,0.77137,0.00100137,0.00100137,0.00100137
123,5196.77,0.39639,0.4819,1.04651,0.95594,0.89135,0.94373,0.80765,0.5552,0.61594,0.80637,0.000995866,0.000995866,0.000995866
124,5210.67,0.36649,0.42312,1.03456,0.95853,0.9032,0.94055,0.82073,0.51528,0.57115,0.7791,0.000990365,0.000990365,0.000990365
125,5225.22,0.38672,0.45572,1.03883,0.96687,0.90356,0.95184,0.84681,0.51023,0.47617,0.75694,0.000984864,0.000984864,0.000984864
126,5239.65,0.38145,0.46634,1.03426,0.93362,0.89737,0.94576,0.82931,0.56621,0.56287,0.80797,0.000979362,0.000979362,0.000979362
127,5254.25,0.3675,0.49334,1.03411,0.98563,0.87465,0.94537,0.86123,0.49989,0.5045,0.77196,0.000973861,0.000973861,0.000973861
128,5268.86,0.35672,0.45665,1.01826,0.99168,0.89825,0.94582,0.85986,0.48903,0.50785,0.76781,0.00096836,0.00096836,0.00096836
129,5283.14,0.36231,0.47358,1.03176,0.95145,0.88816,0.94433,0.84477,0.5248,0.57893,0.80188,0.000962859,0.000962859,0.000962859
130,5297.69,0.35931,0.47914,1.02664,0.9595,0.90433,0.93668,0.79082,0.63701,0.63825,0.899,0.000957358,0.000957358,0.000957358
131,5312.07,0.39134,0.47184,1.08376,0.98628,0.88758,0.93949,0.84363,0.48672,0.49477,0.75334,0.000951857,0.000951857,0.000951857
132,5326.5,0.34239,0.43261,1.01747,0.96872,0.89964,0.95033,0.85644,0.47434,0.4758,0.74376,0.000946356,0.000946356,0.000946356
